Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,TermlySessionsAuthorised,TermlySessionsUnauthorised,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
149992,01b2df4d-8db5-49e6-940d-62573aad10fa,,,,,,M,,C,2014-09-02 00:00:00,10,135,,,5,,,,,,,3,,,,
173171,02482301-e3da-4a69-955e-6dfb1dda56b2,,,,,,M,,C,2011-09-07 00:00:00,11,128,,,,,,,,,,2,,,4,
165621,e42140cc-1a54-4779-86b1-b1f1c8e37ca5,,,,,,F,,Leaver,2011-09-05 00:00:00,Leaver,108,,,,,,,,,,2,,,,
185770,541f4e11-fee1-4fc9-bc30-ae4dbe6c7cf9,,,,,,F,,C,2015-09-03 00:00:00,9,120,,,,,,,,,,2,,,5,
128692,d0df9992-64d9-4723-8604-690c868d9553,,,,,,M,,C,2013-09-03 00:00:00,Leaver,126,,,,1,,,,,,2,,,4,
245955,c61711cc-c511-40f1-81ef-60ae5d6b3cdc,,,,,,F,,Leaver,2012-09-03 00:00:00,9,131,,,10,,,,,,,,,,,
132440,8a135924-3696-4585-891c-bb1ad01edf01,,,,,,M,,C,2011-09-06 00:00:00,9,129,,,3,1,,,,,,,,,5,
196012,3d6f21ae-0628-439d-a979-85534163e74e,,,,,,M,,C,2015-09-03 00:00:00,Leaver,125,,,10,,,,,,,,,,,
237674,338a71ad-4a63-4e28-8a42-474dbf115ce2,,,,,,F,,C,2013-09-04 00:00:00,10,124,,,8,,,,,,,2,,,4,
168523,66ce8762-69cd-4f87-9512-b432a7a0aeb6,,,,,,M,,Leaver,2013-09-03 00:00:00,Leaver,139,,,9,,,,,,,,,,3,
254125,44ef6fdc-8e1f-4dc1-ae22-84eaa4b30ff4,,,,,,M,,C,2015-09-03 00:00:00,8,132,,,,1,,,,,,2,,,,
144884,f8bcfa95-d8d1-4f87-a819-c6231459e63d,,,,,,F,,C,2011-09-05 00:00:00,10,117,,,6,,,,,,,2,,,6,
132451,8af13d52-1061-4e4c-adc8-9151399fc67b,,,,,,F,,Leaver,2015-09-01 00:00:00,7,137,,,7,,,,,,,,,,,
201390,08576ea2-0118-46c4-bdee-7f388352710b,,,,,,F,,C,2015-09-03 00:00:00,7,141,,,,,,,,,,,,,,
227702,e5cc73fa-9717-47a7-8694-3cc56d6f840d,,,,,,M,,C,2013-09-04 00:00:00,10,144,,,,,,,,,,2,,,,
157262,7840ad82-2233-408b-988e-1e4a2582db95,,,,,,F,,C,2015-09-03 00:00:00,11,129,,,,,,,,,,,,,4,
197635,697bb32f-654e-4326-8731-fccb44e052cb,,,,,,F,,Leaver,2015-09-01 00:00:00,11,121,,,,,,,,,,,,,4,
163773,559ac86e-5685-4b6b-a7fe-992af1751635,,,,,,F,,C,2013-09-04 00:00:00,10,117,,,5,1,,,,,,,,,3,
213026,59fcf0f8-8417-4113-8dc9-c41f3fec88ed,,,,,,F,,C,2011-09-07 00:00:00,9,143,,,,,,,,,,2,,,4,
217164,8ce06cd7-7e78-47a9-859c-0be4231aee6d,,,,,,M,,Leaver,2013-09-03 00:00:00,12,111,,,,,,,,,,2,,,4,
186125,59fcf0f8-8417-4113-8dc9-c41f3fec88ed,,,,,,M,,C,2015-09-04 00:00:00,9,137,,,,,,,,,,,,,,
198939,c61711cc-c511-40f1-81ef-60ae5d6b3cdc,,,,,,M,,Leaver,2015-09-03 00:00:00,Leaver,133,,,5,,,,,,,,,,,
233030,d56e9eac-5fa4-4633-858a-709b57712abf,,,,,,M,,C,2012-09-18 00:00:00,9,141,,,2,,,,,,,2,,,,
168287,aa734060-a616-46ce-8b16-6d4d2189138c,,,,,,M,,C,2011-09-01 00:00:00,9,144,,,9,,,,,,,,,,,
148402,58b9da0f-9d47-4ab6-8ffd-18ead4493fe9,,,,,,M,,C,2011-09-05 00:00:00,11,134,,,7,,,,,,,2,,,,
197594,01e70285-6402-4157-a6b2-9a750f9fb6d1,,,,,,F,,C,2013-09-05 00:00:00,9,128,,,3,,,,,,,,,,,
207653,17917548-053f-462d-9221-3c8c14f2912e,,,,,,M,,C,2015-12-01 00:00:00,8,143,,,7,,,,,,,,,,4,
178821,b575bd2c-72f4-4640-86ee-9fa14e35a535,,,,,,F,,M,2014-09-05 00:00:00,9,125,,,,1,,,,,,,,,,
186437,d15378bf-5234-48b7-8e47-2f924d6fab97,,,,,,F,,C,2011-09-05 00:00:00,Leaver,144,,,,1,,,,,,,,,5,
192171,43a3e9c1-fa67-4c89-9d0e-d8cd695e7e2e,,,,,,F,,C,2014-09-04 00:00:00,9,132,,,7,1,,,,,,3,,,,
182454,17d5eca3-60c7-45a4-b2e3-37ba15c460d2,,,,,,M,,Leaver,2011-09-05 00:00:00,10,142,,,6,,,,,,,,,,,
140188,bb5c90f9-6bf5-41a7-80fc-260173c46c8e,,,,,,F,,C,2013-09-03 00:00:00,8,123,,,7,,,,,,,2,,,5,
166891,2195c14b-c793-4a6f-84a0-0ba64fa2358a,,,,,,F,,C,2013-09-03 00:00:00,11,128,,,,,,,,,,2,,,4,
166532,577ab171-cfa9-4d46-9e2d-6dc7ec4daca7,,,,,,M,,Leaver,2013-09-01 00:00:00,8,107,,,,,,,,,,,,,,
179940,7715f170-cb36-4151-82b8-f10eec3b1eda,,,,,,M,,Leaver,2012-09-06 00:00:00,11,141,,,,1,,,,,,,,,,
234702,17aac801-fce1-4890-915b-38cd5b03f10d,,,,,,M,,Leaver,2012-09-05 00:00:00,11,135,,,,,,,,,,,,,,
152779,95ca42e6-e31c-4bbb-be65-87ee2d456dec,,,,,,F,,C,2014-09-05 00:00:00,10,138,,,8,,,,,,,,,,,
179626,5e113f5b-ba76-4cde-a54b-a5ebcb468c91,,,,,,M,,C,2013-09-03 00:00:00,10,125,,,12,,,,,,,3,,,,
175721,59761e15-8b73-4c7c-99d4-2252688565d7,,,,,,F,,Leaver,2011-09-05 00:00:00,10,142,,,5,,,,,,,3,,,,
