DatabaseId,LEACode,DateOfSend,PeriodEnd,SupplierName,SupplierXMLVersion,XMLSchemaVersion,YoungPersonsID,CohortStatus,GivenName,MiddleName,FamilyName,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Town,County,Postcode,Gender,moth/year of birth,Ethnicity,LeadLEA,EducatedLEA,UniqueLearnerNo,UniquePupilNumber,PreviousYPIDIdentifier,GuaranteeStatusIndicator,LEACodeAtYear11,TransferredToLACode,LevelOfNeedCode,SENDFlag,SENSupportFlag,CharacteristicCode,ActivityCode,StartDate,DateAscertained,DateVerified,DueToLapseDate,CurrencyLapsed,EstablishmentNumber,EstablishmentName,UKProviderReferenceNumber,PredictedEndDate,ReviewDate,NEETStartDate,IntendedDestinationYr11
468,825,44629,44620,Servelec,21.2.1.0,1,511d686a-c79e-4854-bf0c-237436436989,P,,,,,,,,,,,F,07/2005,WBRI,825,846,,6584a44d-3aef-464f-b646-b4cf960b1a10,,,,,3,Y,Y,,232,2022-01-27 00:00:00,2021-10-31 00:00:00,2022-01-24 00:00:00,2022-08-31 00:00:00,N,794200615,,,2022-08-31 00:00:00,,,
468,825,44629,44620,Servelec,21.2.1.0,1,83c2c3b9-d6db-42dd-bb54-4b1dd43c04aa,P,,,,,,,,,,,W,02/2005,NOBT,825,809,,143d2975-238a-4687-b541-85ec4930fc6b,,N,825,,3,N,N,,180,2021-12-01 00:00:00,2022-02-03 00:00:00,2022-01-31 00:00:00,2022-08-31 00:00:00,N,906412125,,,2022-08-31 00:00:00,,,608
468,825,44629,44620,Servelec,21.2.1.0,1,f9ee4dfe-82da-498f-a4c9-3ee5faf7f561,P,,,,,,,,,,,M,03/2004,BAFR,825,784,,f84cdf94-ff3d-4b8f-ae14-46992bfd8b03,,N,,,3,N,N,,255,2021-09-06 00:00:00,2021-10-31 00:00:00,2021-09-30 00:00:00,2022-08-31 00:00:00,N,440395066,,,2022-08-31 00:00:00,,,
468,825,44629,44620,Servelec,21.2.1.0,1,81580479-096f-4c8b-b73d-f0d20a6a69a3,P,,,,,,,,,,,M,10/2005,AIND,825,831,,,,N,825,,3,N,Y,,151,2021-09-06 00:00:00,2021-09-30 00:00:00,2022-01-27 00:00:00,2022-08-31 00:00:00,N,647516298,,,2022-08-31 00:00:00,,2021-12-01 00:00:00,608
468,825,44629,44620,Servelec,21.2.1.0,1,d5063d8e-27e8-4447-8ed6-4a735b920200,P,,,,,,,,,,,M,02/2006,WOTH,825,894,,3e9787e4-d0c2-41c6-9cd7-e1f7ae919f4b,,N,,,3,N,Y,,284,2021-09-06 00:00:00,2021-09-30 00:00:00,2022-02-16 00:00:00,2022-08-31 00:00:00,N,599529752,,,2022-08-31 00:00:00,2022-03-01 00:00:00,,
468,825,44629,44620,Servelec,21.2.1.0,1,29cdbbbb-f80d-48fd-a87d-1e3ccd5d2427,P,,,,,,,,,,,M,02/2004,WBRI,825,917,,d2604428-d54e-4ab1-b471-ba9246edb50c,,N,,,3,N,Y,,300,2022-02-01 00:00:00,2020-12-31 00:00:00,2022-02-16 00:00:00,2022-08-31 00:00:00,N,840016102,,,2022-08-31 00:00:00,,,
468,825,44629,44620,Servelec,21.2.1.0,1,66b8aaae-f242-42c1-a90a-28bd89a1033c,T,,,,,,,,,,,M,10/2005,NOBT,825,,,af0cfbf0-07a9-4b0e-8fcb-e3c24e8cc13f,,N,,,3,N,N,,334,2021-09-01 00:00:00,2021-10-31 00:00:00,2022-01-24 00:00:00,2022-08-31 00:00:00,N,,,,,,,
468,825,44629,44620,Servelec,21.2.1.0,1,1a1fcfd2-865d-4c0e-9a97-9749fc76541f,P,,,,,,,,,,,F,04/2006,NOBT,825,860,,f97c52f6-db03-4938-8d5a-aea7a7d91bd8,,N,825,,3,N,N,,114,2021-09-06 00:00:00,2021-09-30 00:00:00,2022-01-20 00:00:00,2022-08-31 00:00:00,N,644288588,,,2022-08-31 00:00:00,,,611
468,825,44629,44620,Servelec,21.2.1.0,1,2c426fd3-0d13-4dfa-8e67-0d8bad8e5a18,P,,,,,,,,,,,M,01/2004,NOBT,825,876,,3b084174-2a76-482d-af6f-f3e0b9aa2b43,,N,825,,3,N,N,,165,2021-02-03 00:00:00,2021-12-22 00:00:00,2022-02-10 00:00:00,,N,830343069,,,2022-08-31 00:00:00,,,610
468,825,44629,44620,Servelec,21.2.1.0,1,0adae54f-2868-4150-be83-5505e9a6d691,P,,,,,,,,,,,M,03/2006,APKN,825,772,,78509468-7917-45dd-9f4f-6846d522c172,,N,,,3,N,N,,361,2021-09-01 00:00:00,2021-09-01 00:00:00,2022-01-20 00:00:00,2022-08-31 00:00:00,N,954114152,,,2022-08-31 00:00:00,,,
