establishment_number,upn,surname,forename,middlenames,preferred_surname,former_surname,gender,date_of_birth,enrol_status,entry_date,nc_year_actual,termly_sessions_possible,termly_sessions_authorised,termly_sessions_unauthorised,illness_authorised,medical_authorised,religious_authorised,study_leave_authorised,traveller_authorised,holiday_authorised,excluded_authorised,other_authorised,holiday_unauthorised,late_unauthorised,other_unauthorised,unknown_unauthorised
193428,6e2aa259-ee06-416f-ad12-1036992061a8,,,,,,F,,C,2014-09-04 00:00:00,9,109,4,0,2,2,0,16,7,1,2,4,5,1,5,0
254469,2bd78167-f6d1-452e-9487-9012efa4dc69,,,,,,M,,C,2013-09-04 00:00:00,7,131,3,0,17,2,1,1,2,0,2,4,2,1,14,0
200584,2483d8ab-c310-4b5c-a86e-cd560c162143,,,,,,F,,C,2014-07-15 00:00:00,11,138,1,0,19,2,1,0,1,1,2,1,1,0,6,0
202132,c204de8e-8b5b-486e-b2c8-8a0110377512,,,,,,F,,C,2014-09-05 00:00:00,10,122,6,0,11,0,0,4,5,1,1,4,0,1,5,0
227256,2d27fbb7-da63-4963-af83-fc2fe1f2380d,,,,,,F,,Leaver,2010-09-01 00:00:00,10,105,1,0,11,2,0,24,4,0,1,3,3,0,0,0
219902,06a93aa2-6393-4433-bcb4-4a35dad7271c,,,,,,M,,C,2012-09-04 00:00:00,10,127,2,0,20,2,1,10,4,0,3,5,1,0,2,0
187239,0050cee7-1b77-4e7a-abf7-d14f8d9d3a9b,,,,,,F,,C,2014-09-03 00:00:00,8,140,6,0,9,2,1,2,1,1,0,1,1,0,6,0
196901,70ae7fa7-d2e3-4d4b-9d68-4d385a066725,,,,,,M,,C,2011-09-07 00:00:00,11,129,4,0,18,4,0,0,5,0,3,4,2,1,10,0
188147,8544b86f-1621-4c73-bef5-d630feb30541,,,,,,M,,Leaver,2012-09-04 00:00:00,12,101,6,0,1,1,0,22,0,0,0,3,0,0,4,0
134367,224ad917-6b39-4545-b75f-1104d246d6c5,,,,,,M,,C,2011-09-07 00:00:00,8,120,0,0,7,3,0,4,3,0,2,0,2,0,1,0
